168, -371, 870
207, -385, 907
262, -389, 935
277, -389, 949
282, -406, 949
293, -424, 941
293, -424, 941
301, -431, 947
295, -439, 946
288, -444, 950
288, -455, 957
288, -460, 1015
286, -462, 1033
264, -464, 1017
219, -471, 1039
219, -471, 1039
189, -477, 1030
166, -472, 1005
151, -471, 991
131, -471, 949
100, -469, 926
72, -464, 927
50, -459, 899
50, -459, 899
33, -462, 851
6, -454, 880
-12, -461, 864
-27, -453, 868
-34, -447, 832
-47, -450, 801
-47, -450, 801
-50, -451, 753
-49, -447, 784
-42, -434, 757
-60, -445, 734
-59, -450, 784
-45, -439, 806
-45, -439, 806
-47, -463, 765
-48, -472, 724
-42, -482, 747
-,-,-
19, -499, 849
52, -524, 803
68, -489, 830
74, -498, 820
79, -487, 791
79, -487, 791
99, -482, 773
124, -474, 776
144, -444, 789
172, -415, 793
183, -398, 770
165, -407, 760
165, -407, 760
153, -401, 771
142, -391, 782
140, -378, 806
124, -398, 842
87, -423, 840
67, -432, 907
67, -432, 907
76, -417, 944
37, -434, 966
-35, -463, 948
-89, -468, 981
-126, -471, 998
-174, -472, 1016
-224, -477, 1007
-245, -471, 1031
-261, -464, 1019
-261, -464, 1019
-279, -456, 987
-307, -460, 945
-320, -455, 915
-322, -451, 925
-319, -441, 915
-314, -433, 901
-307, -415, 912
-296, -400, 925
-272, -394, 914
-250, -387, 915
-240, -364, 924
-226, -344, 923
-204, -342, 909
-204, -342, 890
-178, -353, 890
-157, -341, 881
-136, -332, 899
-114, -327, 915
-69, -325, 923
-30, -323, 923
-9, -311, 916
25, -313, 962
101, -342, 1142
101, -342, 1142
85, -364, 927
147, -361, 927
157, -331, 935
204, -329, 981
229, -351, 950
235, -360, 935
238, -359, 917
238, -359, 917
249, -361, 887
269, -378, 884
279, -393, 897
268, -405, 916
260, -423, 945
261, -441, 975
261, -441, 975
256, -445, 998
236, -447, 1042
208, -454, 1055
184, -456, 1059
155, -465, 1055
130, -467, 1050
115, -467, 1015
107, -470, 1009
82, -470, 1010
49, -460, 1007
49, -460, 1007
38, -453, 1004
28, -442, 966
3, -441, 906
-24, -409, 1002
-44, -395, 867
-63, -382, 808
-63, -382, 808
-91, -389, 727
-101, -398, 753
-71, -398, 701
-76, -381, 745
-101, -386, 742
-100, -388, 770
-112, -418, 740
-114, -397, 795
-,-,-
40, -463, 826
66, -464, 770
139, -479, 811
169, -459, 872
198, -421, 900
212, -396, 926
212, -396, 926
191, -385, 902
162, -394, 845
128, -405, 837
95, -407, 825
66, -398, 815
36, -407, 789
36, -407, 789
-3, -415, 836
-58, -422, 839
-80, -430, 859
-85, -427, 870
-129, -440, 911
-188, -450, 938
-198, -453, 962
-198, -453, 962
-186, -442, 945
-195, -441, 942
-238, -460, 970
-259, -466, 984
-259, -453, 968
-267, -442, 975
-284, -437, 979
-296, -429, 972
-288, -416, 951
-276, -402, 925
-281, -389, 911
-281, -386, 903
-281, -386, 903
