2, -11, 990
1, -11, 990
1, -11, 990
2, -12, 990
1, -11, 990
1, -11, 990
1, -11, 990
2, -11, 990
0, -10, 990
0, -10, 990
1, -11, 991
1, -11, 990
1, -11, 990
2, -11, 990
1, -11, 990
1, -11, 990
-,-,-
9, -11, 980
-6, -13, 990
2, -12, 990
2, -12, 990
2, -13, 990
2, -12, 990
2, -12, 990
1, -10, 991
1, -10, 990
1, -10, 990
1, -11, 991
1, -12, 990
2, -12, 990
2, -12, 990
2, -11, 990
2, -11, 990
2, -11, 990
1, -11, 990
1, -12, 990
1, -12, 991
1, -12, 991
2, -12, 990
2, -11, 990
2, -11, 990
